,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,84,131,Po,0, ,9/2, ,1.781,5,ms,0.001781,0.000005,A,99.99977,0.00002,B-,0.00023,0.00002, , , , , , , , 
2,84,131,Po,271.228,0.01,7/2, ,195,15,ps,0.000000000195,0.000000000015, , , , , , , , , , , , , , 
3,84,131,Po,293.56,0.04,11/2, , , , , , , , , , , , , , , , , , , , 
4,84,131,Po,401.812,0.01,5/2, ,66,7,ps,0.000000000066,0.000000000007, , , , , , , , , , , , , , 
5,84,131,Po,517.63,0.06, 9/2, , , , , , , , , , , , , , , , , , , , 
6,84,131,Po,608.3,0.2,13/2, , , , , , , , , , , , , , , , , , , , 
7,84,131,Po,676.64,0.07,0, , , , , , , , , , , , , , , , , , , , 
8,84,131,Po,708.1,0.5,0, , , , , , , , , , , , , , , , , , , , 
9,84,131,Po,712.66,0.21,15/2, , , , , , , , , , , , , , , , , , , , 
10,84,131,Po,732.7,0.4,0, , , , , , , , , , , , , , , , , , , , 
11,84,131,Po,835.32,0.22,0, , , , , , , , , , , , , , , , , , , , 
12,84,131,Po,877.2,0.6,0, , , , , , , , , , , , , , , , , , , , 
13,84,131,Po,891.1,0.3,0, , , , , , , , , , , , , , , , , , , , 
14,84,131,Po,930.1,1.1,0, , , , , , , , , , , , , , , , , , , , 
15,84,131,Po,1021.07,0.23,19/2, , , , , , , , , , , , , , , , , , , , 
16,84,131,Po,1073.7,0.4,5/2, , , , , , , , , , , , , , , , , , , , 
17,84,131,Po,1077.6,1.5,0, , , , , , , , , , , , , , , , , , , , 
18,84,131,Po,1094.2,1,0, , , , , , , , , , , , , , , , , , , , 
19,84,131,Po,1176.2,2,0, , , , , , , , , , , , , , , , , , , , 
20,84,131,Po,1247.37,0.25,23/2, , , , , , , , , , , , , , , , , , , , 
21,84,131,Po,1294.53,0.11,0, , , , , , , , , , , , , , , , , , , , 
22,84,131,Po,1398.8,0.3,0, , , , , , , , , , , , , , , , , , , , 
23,84,131,Po,1503.3,0.5,23/2, , , , , , , , , , , , , , , , , , , , 
24,84,131,Po,1682.1,0.6,25/2, , , , , , , , , , , , , , , , , , , , 
25,84,131,Po,2001.3,0.5,0, , , , , , , , , , , , , , , , , , , , 
26,84,131,Po,2159.5,0.6,0, , , , , , , , , , , , , , , , , , , , 
