,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,64,89,Gd,0, ,3/2, ,240.4,10,d,20770560,86400,EC,100, , , , , , , , ,0.38, , , 
2,64,89,Gd,41.5566,0.0004,5/2, ,4.08,6,ns,0.00000000408,0.00000000006, , , , , , , , , , , , , , 
3,64,89,Gd,93.3426,0.0006,7/2, ,0.45,8,ns,0.00000000045,0.00000000008, , , , , , , , , , , , , , 
4,64,89,Gd,95.1736,0.0008,9/2, ,3.5,4,us,0.0000035,0.0000004,IT,100, , , , , , , , , , , , 
5,64,89,Gd,109.756,0.0007,5/2, ,0.243,14,ns,0.000000000243,0.000000000014, , , , , , , , , , ,0.4, , , 
6,64,89,Gd,129.1635,0.0006,3/2, ,2.52,9,ns,0.00000000252,0.00000000009, , , , , , , , , , ,0.37, , , 
7,64,89,Gd,139.79,0.15,13/2, , , , , , , , , , , , , , , , , , , , 
8,64,89,Gd,168.4,0.6,9/2, , , , , , , , , , , , , , , , , , , , 
9,64,89,Gd,171.188,0.004,11/2, ,76.0,14,us,0.000076,0.0000014,IT,100, , , , , , , , , , , , 
10,64,89,Gd,183.4695,0.0007,5/2, ,0.76,12,ns,0.00000000076,0.00000000012, , , , , , , , , , , , , , 
11,64,89,Gd,212.0078,0.0007,3/2, , , , , , , , , , , , , , , , , , , , 
12,64,89,Gd,215.9927,0.001,7/2, , , , , , , , , , , , , , , , , , , , 
13,64,89,Gd,219.4426,0.0011,9/2, , , , , , , , , , , , , , , , , , , , 
14,64,89,Gd,249.5538,0.0011,5/2, , , , , , , , , , , , , , , , , , , , 
15,64,89,Gd,290.3595,0.001,7/2, , , , , , , , , , , , , , , , , , , , 
16,64,89,Gd,303.5428,0.0008,5/2, , , , , , , , , , , , , , , , , , , , 
17,64,89,Gd,315.1991,0.0014,1/2, , , , , , , , , , , , , , , , , , , , 
18,64,89,Gd,316.0269,0.0008, 5/2, , , , , , , , , , , , , , , , , , , , 
19,64,89,Gd,322.3,0.3,0, , , , , , , , , , , , , , , , , , , , 
20,64,89,Gd,327.8525,0.0012,1/2, , , , , , , , , , , , , , , , , , , , 
21,64,89,Gd,333.1681,0.0017,9/2, , , , , , , , , , , , , , , , , , , , 
22,64,89,Gd,336.3, , 3/2, , , , , , , , , , , , , , , , , , , , 
23,64,89,Gd,361.6507,0.001,3/2, , , , , , , , , , , , , , , , , , , , 
24,64,89,Gd,363.448,0.014,13/2, , , , , , , , , , , , , , , , , , , , 
25,64,89,Gd,365.39,0.15,17/2, , , , , , , , , , , , , , , , , , , , 
26,64,89,Gd,368.6675,0.0014,5/2, , , , , , , , , , , , , , , , , , , , 
27,64,89,Gd,378, ,11/2, , , , , , , , , , , , , , , , , , , , 
28,64,89,Gd,395.1458,0.0012,7/2, , , , , , , , , , , , , , , , , , , , 
29,64,89,Gd,412.8948,0.0011,3/2, , , , , , , , , , , , , , , , , , , , 
30,64,89,Gd,429.3,0.5,0, , , , , , , , , , , , , , , , , , , , 
31,64,89,Gd,430.1,0.4,11/2, , , , , , , , , , , , , , , , , , , , 
32,64,89,Gd,436.271,0.0015,1/2, , , , , , , , , , , , , , , , , , , , 
33,64,89,Gd,442.1909,0.001,5/2, , , , , , , , , , , , , , , , , , , , 
34,64,89,Gd,448.5193,0.0013,5/2, , , , , , , , , , , , , , , , , , , , 
35,64,89,Gd,482.9359,0.0014,1/2, , , , , , , , , , , , , , , , , , , , 
36,64,89,Gd,490.61,0.14, 7/2, , , , , , , , , , , , , , , , , , , , 
37,64,89,Gd,504.1709,0.0009,5/2, , , , , , , , , , , , , , , , , , , , 
38,64,89,Gd,508.6639,0.0025,3/2, , , , , , , , , , , , , , , , , , , , 
39,64,89,Gd,514.79,0.24,11/2, , , , , , , , , , , , , , , , , , , , 
40,64,89,Gd,530.4595,0.0019,3/2, , , , , , , , , , , , , , , , , , , , 
41,64,89,Gd,548.7645,0.0018,5/2, , , , , , , , , , , , , , , , , , , , 
42,64,89,Gd,551.092,0.019, 7/2, , , , , , , , , , , , , , , , , , , , 
43,64,89,Gd,564.01,0.1,13/2, , , , , , , , , , , , , , , , , , , , 
44,64,89,Gd,575.19,0.09,15/2, , , , , , , , , , , , , , , , , , , , 
45,64,89,Gd,579.125,0.003,7/2, , , , , , , , , , , , , , , , , , , , 
46,64,89,Gd,607.202,0.003,5/2, , , , , , , , , , , , , , , , , , , , 
47,64,89,Gd,615.24,0.19,15/2, , , , , , , , , , , , , , , , , , , , 
48,64,89,Gd,615.6,0.22,15/2, , , , , , , , , , , , , , , , , , , , 
49,64,89,Gd,632.75,0.15,13/2, , , , , , , , , , , , , , , , , , , , 
50,64,89,Gd,636.307,0.012,7/2, , , , , , , , , , , , , , , , , , , , 
51,64,89,Gd,636.448,0.003,7/2, , , , , , , , , , , , , , , , , , , , 
52,64,89,Gd,649.021,0.01,11/2, , , , , , , , , , , , , , , , , , , , 
53,64,89,Gd,664.3253,0.0017, 3/2, , , , , , , , , , , , , , , , , , , , 
54,64,89,Gd,674.4,0.3,11/2, , , , , , , , , , , , , , , , , , , , 
55,64,89,Gd,676.724,0.013, 5/2, , , , , , , , , , , , , , , , , , , , 
56,64,89,Gd,677.1,0.3,0, , , , , , , , , , , , , , , , , , , , 
57,64,89,Gd,683.9566,0.0018,3/2, , , , , , , , , , , , , , , , , , , , 
58,64,89,Gd,708.9627,0.0023,3/2, , , , , , , , , , , , , , , , , , , , 
59,64,89,Gd,715.809,0.011,13/2, , , , , , , , , , , , , , , , , , , , 
60,64,89,Gd,720.345,0.003, 7/2, , , , , , , , , , , , , , , , , , , , 
61,64,89,Gd,727.799,0.004, 7/2, , , , , , , , , , , , , , , , , , , , 
62,64,89,Gd,728.6,0.2,21/2, , , , , , , , , , , , , , , , , , , , 
