,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,71,106,Lu,0, ,7/2, ,6.6443,9,d,574067.52,77.76,B-,100, , , , , , , , ,2.2384, ,3.39, 
2,71,106,Lu,121.6214,0.0004,9/2, ,0.117,4,ns,0.000000000117,0.000000000004, , , , , , , , , , ,2.2, , , 
3,71,106,Lu,150.3984,0.001,9/2, ,133.1,24,ns,0.0000001331,0.0000000024, , , , , , , , , , ,5.5, , , 
4,71,106,Lu,268.7852,0.0005,11/2, , , , , , , , , , , , , , , , , , , , 
5,71,106,Lu,289.014,0.0013,11/2, , , , , , , , , , , , , , , , , , , , 
6,71,106,Lu,440.6431,0.0006,13/2, , , , , , , , , , , , , , , , , , , , 
7,71,106,Lu,451.5139,0.0013,13/2, , , , , , , , , , , , , , , , , , , , 
8,71,106,Lu,457.9568,0.0014,5/2,LE,0.45, ,ns,0.00000000045, , , , , , , , , , , , , , , 
9,71,106,Lu,552.096,0.0013,7/2, , , , , , , , , , , , , , , , , , , , 
10,71,106,Lu,569.6721,0.0015,1/2, ,155,7,us,0.000155,0.000007, , , , , , , , , , , , , , 
11,71,106,Lu,573.6203,0.0014,3/2, ,3.5,10,ns,0.0000000035,0.000000001, , , , , , , , , , , , , , 
12,71,106,Lu,636.2035,0.0007,15/2, , , , , , , , , , , , , , , , , , , , 
13,71,106,Lu,637.1126,0.0016,15/2, , , , , , , , , , , , , , , , , , , , 
14,71,106,Lu,671.9408,0.0013,9/2, , , , , , , , , , , , , , , , , , , , 
15,71,106,Lu,709.4074,0.0015,5/2, , , , , , , , , , , , , , , , , , , , 
16,71,106,Lu,720.7963,0.0016,7/2, , , , , , , , , , , , , , , , , , , , 
17,71,106,Lu,761.7063,0.0014,5/2, ,33,2,ns,0.000000033,0.000000002, , , , , , , , , , , , , , 
18,71,106,Lu,761.863,0.018,3/2, , , , , , , , , , , , , , , , , , , , 
19,71,106,Lu,795.218,0.004,1/2, , , , , , , , , , , , , , , , , , , , 
20,71,106,Lu,811.4396,0.0022,9/2, ,1.0,1,ns,0.000000001,0.0000000001, , , , , , , , , , , , , , 
21,71,106,Lu,816.6951,0.0014,11/2, , , , , , , , , , , , , , , , , , , , 
22,71,106,Lu,823.046,0.011,5/2, , , , , , , , , , , , , , , , , , , , 
23,71,106,Lu,832, ,0, , , , , , , , , , , , , , , , , , , , 
24,71,106,Lu,844.9109,0.0017,17/2, , , , , , , , , , , , , , , , , , , , 
25,71,106,Lu,854.3074,0.0007,17/2, , , , , , , , , , , , , , , , , , , , 
26,71,106,Lu,907.737,0.018,7/2, , , , , , , , , , , , , , , , , , , , 
27,71,106,Lu,956.411,0.017,3/2, , , , , , , , , , , , , , , , , , , , 
28,71,106,Lu,956.6663,0.0018,9/2, , , , , , , , , , , , , , , , , , , , 
29,71,106,Lu,957.3128,0.0024,13/2, , , , , , , , , , , , , , , , , , , , 
30,71,106,Lu,970.1757,0.0024,23/2, ,160.4,3,d,13858560,25920,B-,77.3,0.08,IT,22.7,0.08, , , , ,2.32, ,5.71, 
31,71,106,Lu,980.1858,0.002,11/2, , , , , , , , , , , , , , , , , , , , 
32,71,106,Lu,985.2968,0.0017,13/2, , , , , , , , , , , , , , , , , , , , 
33,71,106,Lu,1021.195,0.019,9/2, , , , , , , , , , , , , , , , , , , , 
34,71,106,Lu,1049.456,0.009,9/2, , , , , , , , , , , , , , , , , , , , 
35,71,106,Lu,1073,3,3/2, , , , , , , , , , , , , , , , , , , , 
36,71,106,Lu,1073.6382,0.0019,19/2, , , , , , , , , , , , , , , , , , , , 
37,71,106,Lu,1088.612,0.005,7/2, , , , , , , , , , , , , , , , , , , , 
38,71,106,Lu,1093.661,0.006,19/2, , , , , , , , , , , , , , , , , , , , 
39,71,106,Lu,1098, , 5/2, , , , , , , , , , , , , , , , , , , , 
40,71,106,Lu,1133,3,5/2, , , , , , , , , , , , , , , , , , , , 
41,71,106,Lu,1149.97,0.13,7/2, , , , , , , , , , , , , , , , , , , , 
42,71,106,Lu,1152.069,0.018,11/2, , , , , , , , , , , , , , , , , , , , 
43,71,106,Lu,1165.605,0.013,11/2, , , , , , , , , , , , , , , , , , , , 
44,71,106,Lu,1176.7986,0.002,15/2, , , , , , , , , , , , , , , , , , , , 
45,71,106,Lu,1184.4, ,0, , , , , , , , , , , , , , , , , , , , 
46,71,106,Lu,1187.74,0.009,11/2, , , , , , , , , , , , , , , , , , , , 
47,71,106,Lu,1201.644,0.003,17/2, , , , , , , , , , , , , , , , , , , , 
48,71,106,Lu,1230.62,0.018,11/2, ,60,15,ps,0.00000000006,0.000000000015, , , , , , , , , , , , , , 
49,71,106,Lu,1236.37,0.12,7/2, , , , , , , , , , , , , , , , , , , , 
50,71,106,Lu,1241.5,0.21,7/2, ,25,8,ps,0.000000000025,0.000000000008, , , , , , , , , , , , , , 
51,71,106,Lu,1243,0.4,25/2, , , , , , , , , , , , , , , , , , , , 
52,71,106,Lu,1286.931,0.004,11/2, , , , , , , , , , , , , , , , , , , , 
53,71,106,Lu,1303.059,0.0021,13/2, , , , , , , , , , , , , , , , , , , , 
54,71,106,Lu,1305.917,0.02,11/2, , , , , , , , , , , , , , , , , , , , 
55,71,106,Lu,1319.941,0.018,13/2, , , , , , , , , , , , , , , , , , , , 
56,71,106,Lu,1322.1,0.4,3/2, , , , , , , , , , , , , , , , , , , , 
57,71,106,Lu,1322.184,0.003,21/2, , , , , , , , , , , , , , , , , , , , 
58,71,106,Lu,1324.4,0.4,25/2, ,62,4,ns,0.000000062,0.000000004, , , , , , , , , , , , , , 
59,71,106,Lu,1328,5,11/2, , , , , , , , , , , , , , , , , , , , 
