Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
56,80,Ba,0, ,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,
56,80,Ba,818.522,0.01,2+, ,1.89,3,ps,0.00000000000189,0.00000000000003, , , , , , , , , , ,0.68, , , ,
56,80,Ba,1550.987,0.013,2+, ,0.89,29,ps,0.00000000000089,0.00000000000029, , , , , , , , , , , , , , ,
56,80,Ba,1578.969,0.022,0+,GT,735, ,fs,0.000000000000735, , , , , , , , , , , , , , , ,
56,80,Ba,1866.611,0.018,4+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2030.535,0.018,7-, ,0.3084,19,s,0.3084,0.0019,IT,100, , , , , , , , , , , , ,
56,80,Ba,2053.892,0.018,4+, ,0.87,+84-29,ps,0.00000000000087, , , , , , , , , , , , , , , ,
56,80,Ba,2080.13,0.03,2+, ,1.0,+11-4,ps,0.000000000001, , , , , , , , , , , , , , , ,
56,80,Ba,2128.869,0.014,2+, ,50,4,fs,0.00000000000005,0.000000000000004, , , , , , , , , , , , , , ,
56,80,Ba,2140.237,0.018,5-, ,1.6,1,ns,0.0000000016,0.0000000001, , , , , , , , , , ,-1.9, , , ,
56,80,Ba,2141.38,0.03,0+, ,0.26,+13-7,ps,0.00000000000026, , , , , , , , , , , , , , , ,
56,80,Ba,2153.55,0.08,(1 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2207.147,0.018,6+, ,3.1,1,ns,0.0000000031,0.0000000001, , , , , , , , , , , , , , ,
56,80,Ba,2222.709,0.019,(2 1)+, ,0.63,+44-19,ps,0.00000000000063, , , , , , , , , , , , , , , ,
56,80,Ba,2298.69,0.04,(6-), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2315.26,0.07,0+,GT,0.85, ,ps,0.00000000000085, , , , , , , , , , , , , , , ,
56,80,Ba,2349.5,0.5, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2356.497,0.022,4+, ,0.51,+52-18,ps,0.00000000000051, , , , , , , , , , , , , , , ,
56,80,Ba,2373.761,0.018,5+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2390.817,0.022,3-, ,0.21,+8-5,ps,0.00000000000021, , , , , , , , , , , , , , , ,
56,80,Ba,2392.1,0.6,(1+ 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2399.94,0.03,(1)+, ,118,+28-21,fs,0.000000000000118, , , , , , , , , , , , , , , ,
56,80,Ba,2430.936,0.022,3+, ,0.20,+7-4,ps,0.0000000000002, , , , , , , , , , , , , , , ,
56,80,Ba,2485.13,0.05,2+, ,146,+35-28,fs,0.000000000000146, , , , , , , , , , , , , , , ,
56,80,Ba,2532.653,0.023,3-, ,76,7,fs,0.000000000000076,0.000000000000007, , , , , , , , , , , , , , ,
56,80,Ba,2544.481,0.024,4+, ,0.44,+56-17,ps,0.00000000000044, , , , , , , , , , , , , , , ,
56,80,Ba,2562,10, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2587.08,0.03,(5)+,GT,0.83, ,ps,0.00000000000083, , , , , , , , , , , , , , , ,
56,80,Ba,2640.8,0.04,(1+), ,55,7,fs,0.000000000000055,0.000000000000007, , , , , , , , , , , , , , ,
56,80,Ba,2659.65,0.05,(3 4 5)+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2661.48,0.05,1 2+, ,73,14,fs,0.000000000000073,0.000000000000014, , , , , , , , , , , , , , ,
56,80,Ba,2693.89,0.05,1, ,120,20,ps,0.00000000012,0.00000000002, , , , , , , , , , , , , , ,
56,80,Ba,2694.43,0.04,5+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2773.66,0.04,2+, ,180,+60-40,fs,0.00000000000018, , , , , , , , , , , , , , , ,
56,80,Ba,2779.99,0.05,2+, ,0.28,+37-11,ps,0.00000000000028, , , , , , , , , , , , , , , ,
56,80,Ba,2784.44,0.13,0+, ,42,+21-14,fs,0.000000000000042, , , , , , , , , , , , , , , ,
56,80,Ba,2812.02,0.07,(3+), ,0.15,+22-7,ps,0.00000000000015, , , , , , , , , , , , , , , ,
56,80,Ba,2820.18,0.1,(2 3 4+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2840.74,0.1,(4+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2905,0.5, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2935.1,0.9,(1 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2946,0.5,0(+) 1 2 3+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2977.67,0.18, , ,0.11,+16-6,ps,0.00000000000011, , , , , , , , , , , , , , , ,
56,80,Ba,2985.01,0.06,(2+ 3+ 4+), ,0.11,+19-6,ps,0.00000000000011, , , , , , , , , , , , , , , ,
56,80,Ba,2994.19,0.14,8(+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,2995.34,0.05, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3022.1,0.08,(1 2+), ,0.14,+6-4,ps,0.00000000000014, , , , , , , , , , , , , , , ,
56,80,Ba,3044.54,0.05,1(-), ,20,3,fs,0.00000000000002,0.000000000000003, , , , , , , , , , , , , , ,
56,80,Ba,3077.35,0.07,3+, ,0.11,+8-4,ps,0.00000000000011, , , , , , , , , , , , , , , ,
56,80,Ba,3109.59,0.09,2+, ,0.27,+13-7,ps,0.00000000000027, , , , , , , , , , , , , , , ,
56,80,Ba,3116.08,0.06,2+, ,101,22,fs,0.000000000000101,0.000000000000022, , , , , , , , , , , , , , ,
56,80,Ba,3178.9,0.7,0(+) 1 2 3(+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3212,0.5,0(+) 1 2 3+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3241.89,0.17, , ,42,+21-14,fs,0.000000000000042, , , , , , , , , , , , , , , ,
56,80,Ba,3335.6,0.3, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3347.6,0.7,0(+) 1 2 3+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3354.5,0.3, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3357.19,0.25,10(+), ,91,2,ns,0.000000091,0.000000002, , , , , , , , , , , , , , ,
56,80,Ba,3370.07,0.21,1, ,18,4,fs,0.000000000000018,0.000000000000004, , , , , , , , , , , , , , ,
56,80,Ba,3378,0.5, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3435,0.1,1-, ,6.0,13,fs,0.000000000000006,0.0000000000000013, , , , , , , , , , , , , , ,
56,80,Ba,3505.5,0.9,0(+) 1 2 3+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3508.7,0.3,(4+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3526.7,0.4,2+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3542.5,0.7,(0+) 1 2 3 4(+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3550.7,0.2, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3559,0.5,0(+) 1 2 3(+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3579.5,0.7,0+ 1 2 3 4+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3650,0.5,(0+) 1 2 3 4(+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3691.92,0.13,1 TO 3, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3698.5,0.7,(0+) 1 2 3 4(+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3706.1,0.6,(1 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3706.4,0.3, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3760.3,1.1, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3768.9,0.3,1(-) 2 3+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3795.34,0.15,(1 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3848.5,0.5,0(+) 1 2 3+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3850.4, , , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3852.7,0.6,(1 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3863.47,0.23,(1 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3881.17,0.1,(1 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3925.6,0.3, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3962.9,0.8, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3965.51,0.06,(1 2+), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,3979.76,0.2,(1), ,21,4,fs,0.000000000000021,0.000000000000004, , , , , , , , , , , , , , ,
56,80,Ba,3992.56,0.19,0(+) 1 2 3+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4008.6,0.3,1 2+, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4075,10, , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4137.07,0.1,1, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4214.9, , , , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4231.17,0.2,1, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4366.78,0.2,1, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4413.28,0.1,(1), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4475.18,0.1,(1), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4536.4,0.3,1, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4601.08,0.2,(1), , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4623.7,0.3,1-, , , , , , , , , , , , , , , , , , , , ,
56,80,Ba,4639.7,1,1-, , , , , , , , , , , , , , , , , , , , ,
